"WellNum","SegNum","dist_wellToStream_m","stream_width_m","stream_row","stream_col","stream_BC","well_row","well_col","well_elev_m","well_screenTopDepth_m","well_wtd_m","Tr_well_m2d","Tr_bulk_m2d","ss_well","ss_bulk","sy_well","sy_bulk","lmda_m2d"
118,3,70829.4216390395,2,47,109,"STR",6,125,1051.556952,68.9732069351999,48.2061023906249,2016.94201551272,1867.98972064683,0.00094,0.00058275,0.175,0.175,12.1710711932928
118,5,67554.1194185228,2,47,116,"STR",6,125,952.60668,50.6425349351999,66.747151875,2016.94201551272,1867.98972064683,0.00094,0.00058275,0.175,0.175,24.8823475513344
118,8,70112.7480093152,2,49,118,"STR",6,125,1239.798384,56.5342741295999,43.9227277499999,2016.94201551272,1867.98972064683,0.00094,0.00058275,0.175,0.175,17.089105434624
118,37,43332.9133568654,10,32,132,"STR",6,125,1086.090792,39.8038469352,43.6029824296875,2016.94201551272,1867.98972064683,0.00094,0.00058275,0.175,0.175,65.2091045750784
118,38,50303.2641465569,10,37,121,"STR",6,125,1169.886408,46.6678981296,31.9560148359376,2016.94201551272,1867.98972064683,0.00094,0.00058275,0.175,0.175,229.069464956928
118,53,68751.2058175215,20,47,137,"STR",6,125,1072.77408,50.9625898704001,43.9879829296876,2016.94201551272,1693.00807762958,0.00094,0.000573010752688172,0.175,0.175,11180.5612775424
118,60,51524.1478638357,15,26,150,"STR",6,125,1047.091632,52.2244320000001,42.2166335625001,2016.94201551272,1693.00807762958,0.00094,0.000573010752688172,0.175,0.175,4670.96863997952
118,68,69872.2232935475,25,44,104,"STR",6,125,1410.12672,67.6961394360001,29.235826640625,2016.94201551272,1693.00807762958,0.00094,0.000573010752688172,0.175,0.175,4623.28931340288
118,77,66218.1989395578,25,24,162,"STR",6,125,1034.533872,73.5299818703999,79.6559706328125,2016.94201551272,1092.684037706,0.00094,0.000930172413793103,0.175,0.175,677.070517856256
118,123,70297.2070179256,25,48,113,"STR",6,125,1277.758176,58.7105759999999,29.8662715078126,2016.94201551272,1092.684037706,0.00094,0.000930172413793103,0.175,0.175,3465.33987704832
118,126,69126.8982637723,25,48,116,"STR",6,125,514.115304,11.2562490648,26.2538081015625,2016.94201551272,1092.684037706,0.00094,0.000930172413793103,0.175,0.175,1110.83198736384
118,134,70112.7480093152,25,49,118,"STR",6,125,1222.251048,71.5701029352001,58.6542772968751,2016.94201551272,1163.76236895781,0.00094,0.000619320388349515,0.175,0.175,13493.8915670016
118,147,69872.2232935475,25,49,119,"STR",6,125,1255.82172,38.6029199999998,11.3647686328125,2016.94201551272,1163.76236895781,0.00094,0.000619320388349515,0.175,0.175,3559.33397035008
118,267,3218.688,0,4,125,"CHB",6,125,1100.986368,58.4789130648001,61.758712921875,2016.94201551272,1163.76236895781,0.00094,0.000619320388349515,0.175,0.175,0
118,270,30619.8578693898,0,5,144,"DRN",6,125,1519.866912,21.8968021296,28.68381121875,2016.94201551272,1036.89013142812,0.00094,0.000820392156862745,0.175,0.175,457.84996429824
121,5,68751.2058175215,2,47,116,"STR",6,128,618.649512,58.3661669352,59.2527360234376,1859.18515094547,1036.89013142812,0.001,0.000820392156862745,0.175,0.175,24.8823475513344
121,8,71048.4822290024,2,49,118,"STR",6,128,1322.600352,43.354752,23.9746512187498,1859.18515094547,1036.89013142812,0.001,0.000820392156862745,0.175,0.175,17.089105434624
121,37,42335.2308645236,10,32,132,"STR",6,128,618.838488,25.8500879999999,17.6288595820312,1859.18515094547,1036.89013142812,0.001,0.000820392156862745,0.175,0.175,65.2091045750784
121,38,51145.752428128,10,37,121,"STR",6,128,1428.067248,10.1376479999999,1.29889448437507,1859.18515094547,956.988780458167,0.001,0.00066869918699187,0.175,0.175,229.069464956928
121,53,67554.1194185228,20,47,137,"STR",6,128,593.549232,18.6354869351999,26.1178580742187,1859.18515094547,1032.73613495155,0.001,0.000631809523809524,0.175,0.175,11180.5612775424
121,60,47849.2370841691,15,26,150,"STR",6,128,1198.705248,41.7759029352001,35.0808696796876,1859.18515094547,1032.73613495155,0.001,0.000631809523809524,0.175,0.175,4670.96863997952
121,68,72331.0167416353,25,44,104,"STR",6,128,1060.027344,51.2307989352,43.6915381406251,1859.18515094547,1032.73613495155,0.001,0.000631809523809524,0.175,0.175,4623.28931340288
121,77,61912.6998546928,25,24,162,"STR",6,128,818.192928,24.798528,30.807761203125,1859.18515094547,1032.73613495155,0.001,0.000631809523809524,0.175,0.175,677.070517856256
121,123,71773.8556262537,25,48,113,"STR",6,128,1438.01592,42.48912,6.57867937500009,1859.18515094547,1032.73613495155,0.001,0.000631809523809524,0.175,0.175,3465.33987704832
121,126,70297.2070179256,25,48,116,"STR",6,128,1246.580184,49.8134938704,40.1189041171876,1859.18515094547,1032.73613495155,0.001,0.000631809523809524,0.175,0.175,1110.83198736384
121,134,71048.4822290024,25,49,118,"STR",6,128,572.249808,41.5930080000001,36.8655198164063,1859.18515094547,1032.73613495155,0.001,0.000631809523809524,0.175,0.175,13493.8915670016
121,147,70701.3228514748,25,49,119,"STR",6,128,1118.90556,13.7617050647998,18.906618984375,1859.18515094547,941.171159407939,0.001,0.000824117647058824,0.175,0.175,3559.33397035008
121,155,72438.35939294,25,51,127,"STR",6,128,592.040472,50.715672,44.2571638945312,1859.18515094547,941.171159407939,0.001,0.000824117647058824,0.175,0.175,2554.05470091264
121,267,3218.688,0,4,128,"CHB",6,128,1103.034624,87.8067690648001,74.8488995859375,1859.18515094547,941.171159407939,0.001,0.000824117647058824,0.175,0.175,0
121,270,25799.7469824096,0,5,144,"DRN",6,128,1103.034624,87.8067690648001,74.8488995859375,1859.18515094547,941.171159407939,0.001,0.000824117647058824,0.175,0.175,457.84996429824
287,3,61176.2439140842,2,47,109,"STR",9,110,1187.91228,46.89348,47.3702508984375,1838.77165098612,941.171159407939,0.00121,0.000824117647058824,0.175,0.175,12.1710711932928
287,5,61912.6998546928,2,47,116,"STR",9,110,1322.499768,59.4085680000001,27.7895863593751,1838.77165098612,1368.30935043909,0.00121,0.000583687943262411,0.175,0.175,24.8823475513344
287,8,65648.6116806677,2,49,118,"STR",9,110,1285.658592,28.0843018703999,9.69346153125002,1838.77165098612,1368.30935043909,0.00121,0.000583687943262411,0.175,0.175,17.089105434624
287,36,62764.416,2,48,110,"STR",9,110,1313.971464,61.9444445639999,46.8785733750001,1838.77165098612,1368.30935043909,0.00121,0.000583687943262411,0.175,0.175,12.1750846046208
287,37,51221.6551447761,10,32,132,"STR",9,110,1326.285384,66.2116741295999,45.880264078125,1838.77165098612,1368.30935043909,0.00121,0.000583687943262411,0.175,0.175,65.2091045750784
287,38,47849.2370841691,10,37,120,"STR",9,110,1137.342912,87.0630570648,79.7978633671876,1838.77165098612,1497.86744561423,0.00121,0.000561,0.175,0.175,1496.92215711744
287,68,57148.7095841516,25,44,104,"STR",9,110,597.328752,53.0168970648,44.7167153789062,1838.77165098612,1497.86744561423,0.00121,0.000561,0.175,0.175,4623.28931340288
287,119,62764.416,25,48,110,"STR",9,110,1117.591872,63.6239818703998,59.9186823515624,1838.77165098612,610.36261511715,0.00121,0.000793140495867769,0.175,0.175,264.04233126912
287,123,62764.416,25,48,110,"STR",9,110,1191.81372,38.7248101296,39.1101262500001,1838.77165098612,610.36261511715,0.00121,0.000793140495867769,0.175,0.175,4618.31268335616
287,126,62949.8356535907,25,48,113,"STR",9,110,1159.925544,47.7103440000001,30.0995863828125,1838.77165098612,610.36261511715,0.00121,0.000793140495867769,0.175,0.175,288.84521327616
287,134,65352.0496537336,25,49,117,"STR",9,110,991.203504,51.2917589352001,35.4530233359375,1838.77165098612,610.36261511715,0.00121,0.000793140495867769,0.175,0.175,4369.88252215296
287,147,65648.6116806677,25,49,118,"STR",9,110,1102.425024,40.1665141296,32.738949,1838.77165098612,829.75948035182,0.00121,0.0007213125,0.175,0.175,3542.6381792256
287,267,4828.032,0,6,110,"CHB",9,110,1519.866912,21.8968021296,28.68381121875,1838.77165098612,829.75948035182,0.00121,0.0007213125,0.175,0.175,0
287,269,54646.6494052235,0,17,77,"DRN",9,110,910.440648,-0.454151999999908,11.2517009296876,1838.77165098612,829.75948035182,0.00121,0.0007213125,0.175,0.175,356.63173060608
287,270,55095.0638924558,0,5,144,"DRN",9,110,1193.53584,34.7471850648001,26.3203878515624,1838.77165098612,829.75948035182,0.00121,0.0007213125,0.175,0.175,457.84996429824
398,3,60580.6334759394,2,47,108,"STR",11,97,1189.698408,47.1556079999998,42.0612956953123,612.978518447732,625.166662373042,0.00251,0.000991981132075472,0.175,0.175943396226415,1.902356969472
398,5,65510.3831375359,2,47,116,"STR",11,97,1263.53316,57.9272698703999,56.5716687890624,612.978518447732,625.166662373042,0.00251,0.000991981132075472,0.175,0.175943396226415,24.8823475513344
398,8,69872.2232935475,2,49,118,"STR",11,97,1159.925544,47.7103440000001,30.0995863828125,612.978518447732,625.166662373042,0.00251,0.000991981132075472,0.175,0.175943396226415,17.089105434624
398,36,62121.5122513984,2,48,108,"STR",11,97,1241.316288,51.2856330647999,48.3618301874999,612.978518447732,625.166662373042,0.00251,0.000991981132075472,0.175,0.175943396226415,7.111764873216
398,37,65688.0521238054,10,32,132,"STR",11,97,1182.535608,53.2210981296,40.3505163984375,612.978518447732,375.434351179645,0.00251,0.00122159574468085,0.175,0.176063829787234,65.2091045750784
398,38,55865.335163721,10,37,120,"STR",11,97,619.548672,47.3476170648,37.8455738554687,612.978518447732,375.434351179645,0.00251,0.00122159574468085,0.175,0.176063829787234,1496.92215711744
398,68,53979.0387477213,25,44,103,"STR",11,97,1592.659248,20.4094674360001,42.247613625,612.978518447732,375.434351179645,0.00251,0.00122159574468085,0.175,0.176063829787234,3423.27932633088
398,119,62599.1374616166,25,48,109,"STR",11,97,514.785864,39.9074640000001,30.151036265625,612.978518447732,364.824071809266,0.00251,0.00107511363636364,0.175,0.175852272727273,3561.42094424064
398,123,63114.1958175557,25,48,110,"STR",11,97,1118.911656,73.3867109352,70.4726561953125,612.978518447732,364.824071809266,0.00251,0.00107511363636364,0.175,0.175852272727273,4618.31268335616
398,126,64874.7306683889,25,48,113,"STR",11,97,1445.398176,25.5787565640001,8.7230783437501,612.978518447732,364.824071809266,0.00251,0.00107511363636364,0.175,0.175852272727273,288.84521327616
