row,col,SegNum,ReachNum,BC,width,cond,cond_total
75,258,25,1,STR,2,0.0097449,0.0097449
76,258,25,2,STR,2,0.016267,0.016267
77,258,25,3,STR,2,0.016222,0.016222
78,258,25,4,STR,2,0.021128,2.9462333
79,258,25,5,STR,2,1.812e-4,1.9277371
56,210,26,1,STR,2,2.991e-4,2.991e-4
57,210,26,2,STR,2,0.0069703,0.31984028
58,210,26,3,STR,2,9.269e-4,0.7473469
65,185,27,1,STR,2,0.008183,0.008183
66,185,27,2,STR,2,0.003746,0.003746
66,186,27,3,STR,2,0.0041304,0.0041304
67,186,27,4,STR,2,5.051e-4,3.8051744
67,185,27,5,STR,2,6.073e-4,1.9202511
67,186,27,6,STR,2,0.0020778,3.8051744
67,185,27,7,STR,2,6.738e-4,1.9202511
67,186,27,8,STR,2,0.0013216,3.8051744
74,292,28,1,STR,2,0.0041153,0.0041153
75,292,28,2,STR,2,0.0063932,0.0063932
76,292,28,3,STR,2,0.0066716,0.0066716
76,293,28,4,STR,2,1.563e-4,1.563e-4
77,293,28,5,STR,2,0.0066849,0.0066849
78,293,28,6,STR,2,0.0091769,0.0091769
78,294,28,7,STR,2,7.494e-4,7.494e-4
79,294,28,8,STR,2,9.715e-4,3.1625473
74,288,29,1,STR,2,2.35e-5,2.35e-5
75,288,29,2,STR,2,0.0017497,0.0017497
75,289,29,3,STR,2,0.0058672,0.0058672
76,289,29,4,STR,2,0.0078914,0.0078914
77,289,29,5,STR,2,0.0066362,0.0066362
78,289,29,6,STR,2,0.003066,3.2601662
78,290,29,7,STR,2,0.002848,3.456368
73,286,30,1,STR,2,5.9e-6,5.9e-6
74,286,30,2,STR,2,0.016886,0.016886
75,286,30,3,STR,2,0.018132,0.018132
76,286,30,4,STR,2,0.021491,0.021491
76,287,30,5,STR,2,7.935e-4,7.935e-4
77,287,30,6,STR,2,0.011633,0.022574
77,286,30,7,STR,2,0.0041698,0.0041698
78,286,30,8,STR,2,7.704e-4,7.704e-4
78,287,30,9,STR,2,0.0060259,0.0060619
77,287,30,10,STR,2,0.010941,0.022574
78,287,30,11,STR,2,3.6e-5,0.0060619
78,288,30,12,STR,2,0.027299,3.193399
81,224,31,1,STR,5,0.0010987,0.0010987
80,224,31,2,STR,5,0.002011,0.002011
79,224,31,3,STR,5,0.001487,0.059459902
62,146,32,1,STR,2,0.02987,0.02987
62,147,32,2,STR,2,0.058782,0.058782
61,147,32,3,STR,2,0.04585,0.04585
61,148,32,4,STR,2,0.071274,0.071274
61,149,32,5,STR,2,0.053261,0.053261
60,149,32,6,STR,2,0.020432,0.058654997
60,150,32,7,STR,2,0.00788,0.00788
60,149,32,8,STR,2,0.038223,0.058654997
59,149,32,9,STR,2,0.012667,0.012667
59,150,32,10,STR,2,0.055631,0.055631
58,150,32,11,STR,2,0.04805,4.55565
69,140,33,1,STR,2,0.0036475,0.0036475
70,140,33,2,STR,2,0.012626,0.0359357
70,141,33,3,STR,2,0.002224,0.002224
70,140,33,4,STR,2,0.00424,0.0359357
71,146,34,1,STR,2,0.011645,0.011645
72,146,34,2,STR,2,0.010048,4.215368
66,171,35,1,STR,2,0.0064742,0.0064742
67,171,35,2,STR,2,0.0053431,0.0064876
67,172,35,3,STR,2,2.189e-4,6.266e-4
67,171,35,4,STR,2,0.0011445,0.0064876
67,172,35,5,STR,2,4.077e-4,6.266e-4
68,172,35,6,STR,2,3.269e-4,3.269e-4
68,171,35,7,STR,2,0.0075878,0.0075878
69,171,35,8,STR,2,0.0015548,3.1634548
69,172,35,9,STR,2,0.0011128,2.9505029
49,108,36,1,STR,2,0.0053636,0.005941
48,108,36,2,STR,2,8.86e-4,0.21877599
49,108,36,3,STR,2,5.774e-4,0.005941
49,109,36,4,STR,2,0.0014855,0.0014855
48,109,36,5,STR,2,0.0051703,0.7033919
48,110,36,6,STR,2,0.0015168,0.6097718
32,132,37,1,STR,10,0.0081239,0.0081239
33,132,37,2,STR,10,0.51241,0.51241
34,132,37,3,STR,10,0.23344,0.23344
34,133,37,4,STR,10,0.40396,0.40396
35,133,37,5,STR,10,0.57054,0.57054
36,133,37,6,STR,10,0.19744,0.19744
36,134,37,7,STR,10,0.35262,0.35262
37,134,37,8,STR,10,0.54599,0.54599
38,134,37,9,STR,10,0.31976,0.31976
38,135,37,10,STR,10,0.28213,0.28213
39,135,37,11,STR,10,0.55614,0.55614
40,135,37,12,STR,10,0.45721,0.4630101
40,136,37,13,STR,10,0.063345,0.16664499
40,135,37,14,STR,10,0.0058001,0.4630101
40,136,37,15,STR,10,0.1033,0.16664499
41,136,37,16,STR,10,0.59784,0.59784
42,136,37,17,STR,10,0.66014,0.66014
43,136,37,18,STR,10,0.53289,0.53289
43,137,37,19,STR,10,0.018576,0.018576
44,137,37,20,STR,10,0.46119,0.46119
44,136,37,21,STR,10,0.087791,0.087791
45,136,37,22,STR,10,0.30535,0.30535
45,137,37,23,STR,10,0.22852,0.22852
46,137,37,24,STR,10,0.57881,0.57881
47,137,37,25,STR,10,0.24414,2.13942
37,120,38,1,STR,10,0.18649,0.18649
